WHERE	SUB	KIND	Transliteration	Transcreation	Machine translated	Confused	untranslatable	method	filename	filetype	location	parent	name	type	property	unique_id	text	translation	DESCRIPTION
			0	0	0	0	0	literal	Events/List/D4_Cat	tres					description		"Grandma's cat has gone missing after a sonic boom from a fighter jet spooked the cat and it ran away.

A few days ago, Nomads found the cat wandering in the Outpost and managed to capture it with some sort of box. Once the Nomads started to deliver the cat back to Grandma, they were ambushed by Bandits who apparently took the box.

Locals saw the Bandits tossing the box around in a cruel way and eventually leaving the box somewhere."		
			0	0	0	0	0	literal	Events/List/D5_Punisher	tres					name		Punisher arrives to Area 05		
			0	0	0	0	0	ignore	Events/List/D5_Punisher	tres					type		Dynamic		
			0	0	0	0	0	literal	Events/List/D5_Punisher	tres					description		"Punisher is a bandit boss and a feared debt collector in the Finnish criminal world.

Punisher and his minions have stolen a local police van and are taking routine drives across Area 05."		
			0	0	0	0	0	literal	Events/List/D6_Airdrops	tres					name		Airdrops are delivered to Area 05		
			0	0	0	0	0	ignore	Events/List/D6_Airdrops	tres					type		Dynamic		
			0	0	0	0	0	literal	Events/List/D6_Airdrops	tres					description		"After a long delay, the Finnish military has once again started delivering airdrops to Area 05.

Airdrops usually contain humanitarian aid such as medicals, consumables and other relevant survival gear."		
			0	0	0	0	0	literal	Events/List/D7_BTR	tres					name		BTR Patrols		
			0	0	0	0	0	ignore	Events/List/D7_BTR	tres					type		Dynamic		
			0	0	0	0	0	literal	Events/List/D7_BTR	tres					description		"The military faction has started to use armored vehicles in the Vostok area.

Military BTR's are equipped with heavy machine guns and patrols have been seen across main roads and key locations."		
			0	0	0	0	0	literal	Events/List/D8_Helicopters	tres					name		Attack Helicopters		
			0	0	0	0	0	ignore	Events/List/D8_Helicopters	tres					type		Dynamic		
			0	0	0	0	0	literal	Events/List/D8_Helicopters	tres					description		"The Border Zone demilitarization is starting to crumble and it is obvious that previous rules no longer apply.

While official sources ensure nothing has changed, attack helicopters have started making frequent patrols and airspace violations near the Border Zone."		
			0	0	0	0	0	literal	Events/List/D9_Crashes	tres					name		Helicopter Crash Sites		
			0	0	0	0	0	ignore	Events/List/D9_Crashes	tres					type		Dynamic		
			0	0	0	0	0	literal	Events/List/D9_Crashes	tres					description		"After airspace violations, aerial incidents were unavoidable and multiple attack helicopters were shot down on both sides of the border.

Helicopter crash sites are scattered around multiple locations and contain high-value loot, which also makes them hotspots for AI activity."		
			0	0	0	0	0	literal	Events/List/D10_Gunsmith	tres					name		Gunsmith returns to Outpost		"Please pay attention to the following points when translating
`Outpost`
`Gunsmith`는 NPC의 고유 명사입니다."
			0	0	0	0	0	ignore	Events/List/D10_Gunsmith	tres					type		Trader		
			0	0	0	0	0	literal	Events/List/D10_Gunsmith	tres					description		"Gunsmith is a trader who maintains a weapon storage inside one of the Outpost bunkers and specializes in everything related to firearms.

Gunsmith was nowhere to be seen for multiple months but according to rumors, he was taking a ""business trip"" to the other side of the border but has now returned to his beloved bunker in Area 05."		
			0	0	0	0	0	literal	Events/List/D20_Outpost	tres					name		Outpost gets compromised		
			0	0	0	0	0	ignore	Events/List/D20_Outpost	tres					type		Dynamic		
			0	0	0	0	0	literal	Events/List/D20_Outpost	tres					description		"Given the previous events, the situation at the Border Zone is escalating quickly and nearby areas face the consequences.

Military BTR's can now enter the Outpost map and Area 05 is no longer considered safe.

News of the event spread quickly among Area 05 locals and traders, but it is only considered rumors by the media and authorities outside of Area 05."		
			0	0	0	0	0	literal	Events/List/D30_Escape	tres					name		Traders leave Area 05		
			0	0	0	0	0	ignore	Events/List/D30_Escape	tres					type		Trader		
			0	0	0	0	0	literal	Events/List/D30_Escape	tres					description		"After the Outpost was compromised, all traders started making preparations and leaving Area 05.

It seems that the traders are doing this as a temporary measure and will return if and when things calm down."		
			0	0	0	0	0	literal	Events/List/D40_Return	tres					name		Traders return to Area 05		
			0	0	0	0	0	ignore	Events/List/D40_Return	tres					type		Trader		
			0	0	0	0	0	literal	Events/List/D40_Return	tres					description		"The escalation of recent events has seemed to stop and Area 05 did not spiral into full chaos.

All traders are returning back to Area 05."		
			0	0	0	0	0	literal	Events/List/D50_Transmission	tres					name		Transmission		
			0	0	0	0	0	ignore	Events/List/D50_Transmission	tres					type		Special		
			0	0	0	0	0	literal	Events/List/D50_Transmission	tres					description		"The signal that started it all has suddenly reappeared.

The transmission is interfering with radio broadcasts and can be heard on all common frequencies.

This is the last event of Early Access [Build 1]. The events and story will continue in upcoming builds."		
